"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1qa",1805.32740368241,3.26230207218705,0.285725055633267,11.4176268684475,3.41429932890827e-30,6.9562934527177e-26
"Serpina3i",76.6654398540261,4.12277012052385,0.382765489173563,10.7710079334096,4.71807476102013e-27,4.8063027590512e-23
"C1qb",3276.37631399744,3.40820731914574,0.339096139090896,10.050858521371,9.1070519537857e-24,6.18490255021433e-20
"Ly86",471.276785241461,2.50848191653977,0.278035231224569,9.02217285734436,1.84394972210419e-19,9.39215790953771e-16
"Gfap",15988.6690318183,4.3653563548884,0.487013846690222,8.96351589293743,3.14487235990115e-19,1.28147258921252e-15
"Cd68",627.741270761613,2.9997581266859,0.345005166644185,8.69482088011641,3.47377349025367e-18,1.17957768484047e-14
"Cst7",131.235686573882,6.78116485453899,0.784186786018174,8.64738474996675,5.26930749548546e-18,1.53366958447172e-14
"Cd14",290.617139679138,3.80931958992915,0.442887319901677,8.60110330269747,7.89533778049596e-18,2.01074514924781e-14
"Serpina3h",181.334111091416,3.48987951006329,0.421166281716177,8.28622722560472,1.168973554416e-16,2.64629635529684e-13
"Ctss",3431.59215418127,2.64814814014764,0.339346546441941,7.80366904544502,6.01327636021133e-15,1.22514492562946e-11
"Ctse",44.4424159713421,6.83977665030083,0.89183187096995,7.66935660514345,1.72861230736e-14,3.2017042863775e-11
"Thsd4",1212.80252978679,1.82355014812197,0.238698972160053,7.63953917195439,2.18000576682489e-14,3.7012864577742e-11
"Ddit4l",1173.45045516402,-2.24368308030984,0.294273357272235,-7.62448595791223,2.45008733727919e-14,3.83985226228664e-11
"C1qc",2161.33231831641,3.19359915195833,0.423998292029265,7.53210381266797,4.99292359890418e-14,7.26613038600527e-11
"Trem2",192.740997197058,4.32637462782631,0.578615405527136,7.47711620966063,7.59712314119417e-14,1.0318919125246e-10
"Trim12a",304.04590100087,-24.7769239541578,3.32732336815642,-7.44650315364028,9.5846746581392e-14,1.2204885092808e-10
"Fcgr1",159.641423967487,2.91248931038261,0.393468325863262,7.40209343151744,1.340541230004e-13,1.60659923647655e-10
"Nrep",1408.9443577381,-1.38779869094891,0.187853813666023,-7.38765247223683,1.49443720043994e-13,1.69153686232018e-10
"Lgals3bp",627.180935614296,3.50607337800699,0.486548031337673,7.20601698534819,5.76122198579259e-13,6.17784930202833e-10
"Ncf4",108.350521114668,3.09639934722766,0.446440064844661,6.93575597500429,4.04054548411572e-12,4.11610368466868e-09
"Xaf1",519.693232844349,4.01334563474922,0.585983439253325,6.84890624189504,7.4416746703965e-12,7.21984189212658e-09
"Cyth4",284.359651941391,2.13276631034002,0.315595800301017,6.75790459919231,1.40001659485197e-11,1.29654264106882e-08
"Itgax",46.1214864191659,7.60046432950431,1.12791079016249,6.73853322070742,1.59993480838896e-11,1.41726399070072e-08
"Ctsd",10169.8033161314,1.10211453630454,0.164315204218239,6.70731927424526,1.98232232439189e-11,1.68282645988168e-08
"Grn",3815.89231556425,1.03210716462616,0.154434262890846,6.68314883825787,2.3386183543592e-11,1.90588041406858e-08
"RP23-275N2.7",455.729873358503,-1.36476241268896,0.20692126749293,-6.59556375825695,4.23642922091758e-11,3.31973111334519e-08
"S100a8",30.062584012294,-21.6310499564277,3.36226745441138,-6.43347093879971,1.24722450268798e-10,9.41146371028329e-08
"Isg15",1100.34541569115,6.60938569013735,1.02883973561268,6.42411588642757,1.32638131271174e-10,9.65131888042461e-08
"Usp2",5355.0324559355,-1.03460302738732,0.162335314533182,-6.37324682163252,1.85067677650332e-10,1.30019616015443e-07
"Unc93b1",534.852729091163,2.26442402879945,0.356098340000951,6.35898507359906,2.03091138872414e-10,1.37925962112885e-07
"H2-K1",811.506119838711,2.64520634192897,0.42656405168751,6.20119377491936,5.60364670087223e-10,3.68286122205067e-07
"Slc35e4",1894.09437857874,0.950282497026827,0.15369550469733,6.1828906375512,6.29383184699401e-10,4.007204064083e-07
"Myo1f",129.758832584473,2.83220593491888,0.463947798964862,6.10457887986096,1.03072078227134e-09,6.36360764181704e-07
"H2-Q7",59.4801069107664,4.61013505163724,0.763729910329852,6.03634215353191,1.57646808656024e-09,9.44675317517008e-07
"Serpina3n",7191.86496572268,1.35346604921786,0.224429844487747,6.03068657070584,1.63264562786494e-09,9.50386343489153e-07
"Bdnf",4112.36200783575,-1.06194074844355,0.177241862758665,-5.9914781525937,2.07942263807309e-09,1.17683768966947e-06
"Pdlim4",450.073320366065,2.15279984848036,0.360913997724637,5.96485551143091,2.44850610609876e-09,1.34826657853125e-06
"Tyrobp",690.512466842068,2.28345273600853,0.388310177681169,5.88048644422453,4.0906250964207e-09,2.19322093985461e-06
"Cd300d",163.057588276153,2.96787456434906,0.507336560817185,5.84991264885108,4.91831237308586e-09,2.56937682792952e-06
"Timp1",52.5318109927398,4.24190701890203,0.726392008345226,5.83969395335915,5.22968018320525e-09,2.66373760131559e-06
"Mx1",109.5632930561,7.6201536028098,1.3108129075342,5.81330375907289,6.12517678029658e-09,3.04376467614055e-06
"Fcgr2b",118.417298119989,3.17298731401691,0.548658073153995,5.78317802885283,7.33024147361397e-09,3.55586523293836e-06
"Ddx60",134.48351195607,4.00085970758173,0.692979188098041,5.77341971634464,7.76786260760802e-09,3.68052169226525e-06
"Plscr4",346.450177193052,-1.54856797499825,0.268511496639757,-5.76723155014796,8.05843009045551e-09,3.73141942415774e-06
"Hkdc1",314.654319184381,1.65546023257672,0.28926481056078,5.72299212395513,1.04664119137095e-08,4.73872614066484e-06
"Irgm1",410.202135556598,3.20224905647883,0.564629540645336,5.67141608074359,1.41621970813068e-08,6.27262181162055e-06
"Irf8",208.532792449908,2.31602961592279,0.411352311329257,5.6302822474455,1.79914955170606e-08,7.79912190775729e-06
"Lyn",192.699443379164,1.83419410932001,0.32793629438717,5.59314153606467,2.22997357828902e-08,9.46530868417926e-06
"Cfap69",193.074233562964,-1.99190756844152,0.357596508883644,-5.57026570158619,2.54351148022589e-08,1.05758169179842e-05
"RP23-114N13.4",515.73071762363,-1.29796816441867,0.23548000689672,-5.51201004927754,3.54758659827846e-08,1.44557058706651e-05
"Hspb6",477.413090856352,2.57039767871136,0.46791216715737,5.49333370475675,3.94416498296652e-08,1.57565524241098e-05
"Cx3cr1",957.529044851738,2.14498565885186,0.392307170600326,5.46761777402515,4.56124136201448e-08,1.78712945210929e-05
"Stat3",1566.34602282839,1.12193558023948,0.205939573230565,5.44788727411505,5.09716443490482e-08,1.9594269471085e-05
"Cd72",29.5733980470253,4.85333802499121,0.893261443294455,5.43327830997778,5.53280105971788e-08,2.08750534797578e-05
"Slc11a1",105.880896191168,2.70366141615762,0.498358947146524,5.42512867811061,5.79128037186281e-08,2.14530084175151e-05
"Oas1g",22.2669375845092,5.12840227780118,0.94913908932517,5.40321469790843,6.54570328675158e-08,2.38146712079065e-05
"Nfkbia",2169.81297623118,1.17035206866396,0.218844082740573,5.34788080174571,8.89900385364168e-08,3.18084744761571e-05
