"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tyrobp",6549.30667358103,4.73821634964054,0.18533435703343,25.5657743414832,3.6666356414274e-144,8.19089735938467e-140
"Gfap",59235.0503642791,7.82935052896945,0.346943957352801,22.5666144719965,9.22441798902306e-113,1.03032136728393e-108
"C1qb",27799.0231038219,4.4489817990435,0.205185449357558,21.6827353643906,2.98595524673894e-104,2.22344180856337e-100
"Lgals3",1919.28606776568,8.22256333374969,0.381885240677764,21.5315033363332,7.89312900190175e-103,4.40811521933708e-99
"Cd300d",1149.10610709708,4.47454188045833,0.217879305013049,20.5367915974872,1.01019423245968e-93,4.51334579178337e-90
"Serpina3n",13306.396726872,5.57264589116603,0.272927049955469,20.418078354913,1.15519619438912e-92,4.30098796440974e-89
"C1qc",14808.9899366243,4.567559193293,0.22575092176226,20.2327377343031,5.04240903401199e-91,1.60917679158277e-87
"Ccl6",1426.19080313364,7.62541563647992,0.379131964377486,20.1128270706492,5.69817483832022e-90,1.59114409641544e-86
"Cst7",2251.04921190995,12.0116635567828,0.60915353441658,19.7186142378489,1.492622007847e-86,3.70485367036603e-83
"Cd14",2502.65120992413,4.85964194442655,0.256401169189069,18.9532752904222,4.14935362450634e-80,9.26924106178471e-77
"Ctsd",43469.6138855433,3.45804353057295,0.190876840666294,18.1166217886987,2.35625648786318e-73,4.78512851657959e-70
"Spp1",22518.8323801577,8.96442775955537,0.509470664482513,17.5955720015025,2.66352783645675e-69,4.95837902821728e-66
"Gpnmb",2610.73158387268,6.58914253942559,0.390458313549996,16.8754059287865,6.82541736333161e-64,1.17286921907281e-60
"Fcer1g",1946.67901566326,4.03374977613559,0.250518398129891,16.1016109245762,2.4854828181578e-58,3.96594290534479e-55
"Aif1",1522.93302996438,2.96786723022708,0.195080734362039,15.2135332068167,2.87593240468833e-52,4.28303026588884e-49
"C1qa",12160.2118867382,4.35682889803342,0.287911507893256,15.1325278031218,9.88252239019399e-52,1.3797854229659e-48
"Cd74",4221.11685460076,6.32643495687341,0.419992622217162,15.0632049760204,2.82741145239987e-51,3.71538496677416e-48
"Lcn2",1000.98386815412,11.6518718092151,0.779888433523264,14.9404341805353,1.79799912755135e-50,2.23141680613165e-47
"Cd68",5988.92209796601,5.60218207178455,0.375143453156018,14.9334395273444,1.9969426105418e-50,2.34787899878386e-47
"A2m",1531.89190228069,5.23051241886541,0.35449567025751,14.7547991631771,2.86543116878168e-49,3.2005433439707e-46
"Tnfaip8l2",595.207164083634,4.1490417627939,0.281437204268447,14.742335767507,3.44654929754237e-49,3.66630784560947e-46
"Cd9",11135.204147744,3.24424763311144,0.223127497093283,14.5398826920696,6.77085820859765e-48,6.8751909782665e-45
"Irf8",955.811188705289,3.92602655553306,0.277287335847095,14.1586940620252,1.65032563318298e-45,1.60289670955107e-42
"Fcrls",2671.12905393769,5.41286660409261,0.388766393868824,13.9231854642225,4.58026535180047e-44,4.26327282057794e-41
"C4b",3165.30371256763,5.99435187421501,0.431475464208074,13.8926830641853,7.0157201202641e-44,6.26896687066319e-41
