"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Col6a1",192.334674556519,-4.56547563923747,0.610237225710622,-7.48147678785241,7.34920215790042e-14,1.53238214194382e-09
"Stk11",1364.88296354176,1.62926718591575,0.253980811957674,6.41492234534341,1.40894661503242e-10,9.79264862334697e-07
"Usp43",22.1737079038796,20.2941045417553,3.13633027380275,6.47065288731504,9.75803632189767e-11,9.79264862334697e-07
"RP24-241J19.1",19.2077979294753,20.1097317434623,3.21098979378445,6.26278282864335,3.78167122518921e-10,1.97129066791051e-06
"Ecel1",399.754745442576,-2.9165699732768,0.479494446365239,-6.08259385564437,1.18253630542486e-09,4.93141290088275e-06
"RP23-415M7.2",16.6655893799859,19.9130306112338,3.29202988792509,6.04886082118308,1.4587360762796e-09,5.06935098775099e-06
"Klhl1",95.474768623751,-3.4616386601838,0.575531640021619,-6.01468002706813,1.80242360350266e-09,5.36890493666199e-06
"Has2",15.9594203384611,19.8531491520562,3.31834195842755,5.98285209926462,2.19263852223589e-09,5.71483822839258e-06
"Ngb",189.483476708979,-2.92493895843263,0.500418306491971,-5.84498792407699,5.06605015961624e-09,1.17369124309065e-05
"Syt9",135.681292544089,10.1082411538492,1.73676297392792,5.82016159118595,5.87907610751588e-09,1.22584615917814e-05
"Gpx3",647.703992494595,-2.32525966160952,0.403075749337695,-5.76879076806338,7.98423590776594e-09,1.41919432126596e-05
"Padi4",19.8991831291692,18.6127189267405,3.22859361834643,5.76496181525417,8.16763313759128e-09,1.41919432126596e-05
"Ints2",614.568675523955,1.54879077789662,0.270202097451839,5.73197170748343,9.92698338991699e-09,1.59221177433199e-05
"Rgs9",481.067981956209,-1.78681047740072,0.314888818987588,-5.67441703120983,1.39161743045825e-08,2.0726153601775e-05
"RP23-61B8.2",416.850115242992,4.7397398513603,0.838205902056158,5.65462476431327,1.56187110636477e-08,2.17110496258746e-05
