"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lpar6",308.351975050842,-1.23668491666757,0.236830785900696,-5.22180810220389,1.77184529293009e-07,0.00470690702066879
"RP23-192P17.5",51.9870684173197,4.56485531461662,0.918315280355357,4.97090205539232,6.6642111128723e-07,0.00885173841067263
"Col25a1",1449.57157798342,1.01231518581012,0.212437075345947,4.76524723455919,1.88622221235087e-06,0.0157242935926199
"Myh9",404.966876936444,1.55871581017914,0.336217216766244,4.63603805055244,3.55150617563408e-06,0.0157242935926199
"Neb",177.29838579286,1.47786676069131,0.31345787262179,4.71472210389964,2.42040858700095e-06,0.0157242935926199
"RP23-374K9.7",38.6943879024314,-2.74547810552323,0.590457503486937,-4.64974716945734,3.32342182862267e-06,0.0157242935926199
"Fas",112.798036145326,-2.14679713437696,0.472150722273473,-4.54684708315137,5.44555332470723e-06,0.020665874867264
"Phtf1os",61.1526205158424,-1.85416045224704,0.413026850282943,-4.48920076497896,7.14908954981855e-06,0.0237394454863662
"Lyve1",17.4744481615371,-6.83558286202461,1.5340390647059,-4.45593793488897,8.35271965671462e-06,0.024654444186736
"Dscam",2194.28498519799,0.701475575588609,0.160909245190868,4.35944854974945,1.30390604578979e-05,0.0323961872213563
"Rnaset2a",641.621988886488,-1.03557623772923,0.238633176776056,-4.33961552085884,1.42732219536267e-05,0.0323961872213563
"Fzd6",69.5853216314566,-3.27419546375138,0.755445490680454,-4.3341253659509,1.46340766669029e-05,0.0323961872213563
"RP23-64D23.6",8.430134245451,4.29935038494779,1.02230654330724,4.20553933954004,2.60460276417793e-05,0.0532240557156821
"Sall3",125.37308674567,1.43110750961851,0.343542144008576,4.16574075285151,3.10343215319693e-05,0.056738554605622
"Gdpd3",41.399743418072,-5.59098278476378,1.34447831066589,-4.15847748558672,3.20375802403286e-05,0.056738554605622
"Nfatc1",151.428768517117,1.22171812613479,0.297043821813131,4.11292218999043,3.90682094757934e-05,0.0648654365452783
"RP23-465M17.2",8.04024307145114,5.2324141355967,1.27715816886755,4.09691944439135,4.18684516292993e-05,0.0654256127960198
"Rab3ip",2227.51288181307,-0.453133116795605,0.11308779137345,-4.00691455100775,6.15171061615654e-05,0.0697739921921601
"Apba1",1500.25528952262,0.958538080301265,0.240146298958643,3.99147554827126,6.56634596199512e-05,0.0697739921921601
"Ptprf",937.881723718834,1.0138397089402,0.253811092678645,3.99446571952569,6.48403015955252e-05,0.0697739921921601
"Ptch1",802.364255200606,0.96308578208572,0.240607228683509,4.00273003997128,6.26157361615561e-05,0.0697739921921601
"Pcdhb11",137.575726067278,1.74628635083768,0.437233745732199,3.99394229718777,6.49836846762331e-05,0.0697739921921601
"Krt12",517.551152559582,-2.25683060052503,0.563208980361145,-4.0070927119768,6.14707380321593e-05,0.0697739921921601
"Crnde",37.0037202209964,-2.67572577267352,0.667080998721077,-4.01109577068363,6.04375859346663e-05,0.0697739921921601
"Dnah5",26.5033270781456,2.29777020801455,0.572381028433205,4.01440665198897,5.95955233243848e-05,0.0697739921921601
"Cdc20b",8.59832025916458,5.83014630543999,1.47283190940275,3.95846007152586,7.54345483305785e-05,0.0770737990923776
"Dennd2a",263.552961856218,0.817700747896973,0.208652432499948,3.91896101138038,8.89314974043962e-05,0.0874987121684365
"B3galt1",972.214556668181,0.610826497346288,0.156230214169895,3.9097846763625,9.23784298354598e-05,0.0876440353063925
"Rps6kb2",236.264568618314,-2.50226798544659,0.641691875730938,-3.89948522037357,9.6397421051255e-05,0.0883033617319513
"Hmgb1-ps1",134.721633591866,-1.04548793417799,0.269411306796178,-3.88063866587809,0.000104182525506767,0.0922536263362418
"Parp3",259.368063267655,-1.07099205310427,0.278491734015457,-3.84568704306616,0.000120215119957239,0.0997973331770015
"RP23-278O17.1",47.3136766828811,-1.80490155320961,0.468401254650926,-3.85332348128467,0.000116525278787824,0.0997973331770015
"Scaf4",654.377368465947,0.673552430386587,0.176324234758856,3.81996514153456,0.000133470535629486,0.104283669970509
"Trmt11",542.280982300632,-0.6710052275144,0.1754678779284,-3.82409153992394,0.000131255146144427,0.104283669970509
"Cbr3",368.620088768082,-0.918156921469302,0.245157465135575,-3.74517219355955,0.000180270089482203,0.136824997916992
