"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP23-369M17.1",275.028766595387,-4.44823934994129,0.315454182990587,-14.10106313307,3.74091204316097e-45,8.02612678860185e-41
"Socs1",538.860283134974,-2.68723247341861,0.332283843802251,-8.08715958822792,6.10722234674516e-16,6.55152277247087e-12
"Gcm2",111.284451881955,-10.2218231590835,1.28686346314433,-7.94320722581356,1.97019384049408e-15,1.40901696159335e-11
"Grik1",1788.07785727253,-1.74488601643725,0.282347940666569,-6.17991408868756,6.41364940742503e-10,3.4401212009076e-06
"Hpca",3696.6667537198,-2.75354138493093,0.458222940121125,-6.00917401517059,1.86470895002416e-09,6.37997935059456e-06
"Il34",658.720940389024,-1.65655033211169,0.276492121286006,-5.99131116071889,2.08155933135222e-09,6.37997935059456e-06
"Pstpip1",650.452239885376,-3.07795118093769,0.512593594081586,-6.0046618148876,1.91731113873632e-09,6.37997935059456e-06
"Adgrg5",100.837954056567,-1.97766771531186,0.338356378068828,-5.84492518391235,5.06795989077705e-09,1.35916349320777e-05
"Slc35d3",317.929593760633,-3.42242084678209,0.590624699964703,-5.79457792230264,6.84932172081615e-09,1.63280219466789e-05
"Ctxn3",5600.51819452593,-5.39035160909837,0.963602875564995,-5.59395550364854,2.21953860512905e-08,4.76202007730437e-05
"Tpbg",646.18109889496,-3.62634547957068,0.685620481358597,-5.2891440354653,1.22890092242428e-07,0.000239691539005572
"Lypd6",2135.22570382455,-3.37305304568027,0.644165664688022,-5.23631300236079,1.6381605154328e-07,0.000273677211818183
"RP23-325H23.1",45.8806128088316,-6.04722848600068,1.15536087655472,-5.23406029121694,1.65826322705028e-07,0.000273677211818183
"Stac2",134.866992431845,2.16273421673853,0.425355147009341,5.08453754925654,3.68522860035591e-07,0.000562666237934156
"Sfrp5",388.407609962348,-1.80053874982699,0.354986498612458,-5.07213304411517,3.93381196411668e-07,0.000562666237934156
"Vil1",104.672604517999,2.08648851763754,0.421050994221705,4.95542949968406,7.21706879425762e-07,0.000967763818629983
"RP23-73C1.1",53.3993171015793,-3.68839285891458,0.746562748757873,-4.94049946243809,7.79227076804645e-07,0.000983430407814332
"Il10ra",148.922591168166,-1.49256839252955,0.305778742049849,-4.88120391405831,1.05440143176162e-06,0.00125678792880254
"Fggy",349.651839936263,-2.99172237335671,0.617074158992859,-4.84823797878617,1.2456291736541e-06,0.0013463387956315
"Col26a1",360.390964541139,-1.53887959668454,0.317507844877496,-4.84674511673337,1.25503499942344e-06,0.0013463387956315
"Cdx1",123.278901811186,-2.88078747973468,0.610815084092231,-4.7163004889049,2.40171650162798e-06,0.00245375369249659
"Fzd5",167.597127002734,-3.57059618339186,0.765117245641221,-4.66673075758403,3.06029916796072e-06,0.00298448721129988
"Inhba",460.260074815031,-2.77354086148358,0.59976481402083,-4.62438075166452,3.75719158843748e-06,0.00350480632738809
"Umodl1",70.0564815434176,4.6652035492799,1.01353093042451,4.60292173552703,4.16604814671342e-06,0.00372427345782235
"C1ql3",311.47617840511,2.62412004134382,0.575814278621376,4.55723336285883,5.18318261518761e-06,0.00444820732035401
"Lhx6",17.9688447046107,-7.59027373726224,1.67984595393396,-4.51843439541995,6.22985699205856e-06,0.00514083006786986
"Col15a1",80.0990995848418,-2.43771321522624,0.544059872461215,-4.48059733609561,7.44344240628594e-06,0.00591477988247648
"Tshz2",410.277122457105,1.44498923580161,0.325360856392854,4.44118955126203,8.94629449054544e-06,0.00661871545843629
"Traf1",152.012723293207,-1.81342980505693,0.407698470895147,-4.44796812967031,8.66863875580514e-06,0.00661871545843629
"Rpsa",5945.95730712449,-1.08259392123066,0.244514367415549,-4.42752682663757,9.5319720413386e-06,0.0067906615624229
"Galnt14",2371.85241064892,-1.20449582687264,0.272431378277886,-4.4212815516575,9.8117226024288e-06,0.0067906615624229
"Tox",972.216950762154,1.03598594003393,0.237022245147229,4.37083843919552,1.23770350061538e-05,0.00829841518928218
"Fgf10",319.07568819087,2.83814648307638,0.65334015660125,4.34405639145272,1.39875584446506e-05,0.00902869998992668
"Adgrg6",76.0184134923048,-2.37022220329558,0.546249648200616,-4.33908234285048,1.43078909185508e-05,0.00902869998992668
"Emx1",11.4528114617603,-6.93196652212256,1.60539437019876,-4.31792128513838,1.5750557837597e-05,0.00965509195444694
"Zic5",512.553745244234,2.23343398090591,0.521156170591828,4.28553686387252,1.82298414734759e-05,0.0108644791337063
"Ccl3",21.5734032991365,-6.88845513151283,1.63424824504546,-4.2150604428651,2.49711301992494e-05,0.0137373230365358
"RP23-56C21.4",9.56974087823464,6.97185993561102,1.65059170838476,4.22385493650247,2.40158663711516e-05,0.0137373230365358
"RP24-113I12.3",7.59194945023608,-6.34572156770234,1.50340926512386,-4.22088762847922,2.43342225794921e-05,0.0137373230365358
"AC102232.1",110.415144626715,-3.77057421819879,0.898488826408712,-4.19657329882431,2.70983787172518e-05,0.0145348928844659
"AC134246.2",89.8447588564193,-1.71652439598823,0.409975168164374,-4.18689844966419,2.82792273744458e-05,0.0147983127638716
"Tmem215",46.459476158395,4.00878251797622,0.959427108973044,4.17830857652871,2.93685025828802e-05,0.0148513890683131
"Fgf5",35.4956896390592,-2.57263581439959,0.616162372252976,-4.17525628024451,2.97650771352814e-05,0.0148513890683131
"Limk1",821.039152247751,1.71822113451207,0.412203419628503,4.16838156282306,3.06770091954911e-05,0.0149585280065741
