"hs"	"ms"	"cell_type"	"category"
"2022"	"TEKT5"	"Tekt5"	"astrocyte"	"top_all_specificity"
"2023"	"TEP1"	"Tep1"	"microglia"	"top_all_enrich"
"2024"	"TERF2IP"	"Terf2ip"	"oligodendrocyte"	"top_human_expression"
"2025"	"TES"	"Tes"	"microglia"	"top_all_enrich"
"2026"	"TET1"	"Tet1"	"astrocyte"	"top_all_enrich"
"2027"	"TFCP2L1"	"Tfcp2l1"	"astrocyte"	"top_all_enrich"
"2028"	"TFEB"	"Tfeb"	"oligodendrocyte"	"top_all_enrich"
"2029"	"TFPI"	"Tfpi"	"microglia"	"top_all_enrich"
"2030"	"TGFA"	"Tgfa"	"oligodendrocyte"	"top_all_enrich"
"2031"	"TGFB1"	"Tgfb1"	"microglia"	"top_all_enrich"
"2032"	"TGFB3"	"Tgfb3"	"oligodendrocyte"	"top_human_enrich"
"2033"	"TGFBI"	"Tgfbi"	"microglia"	"top_all_enrich"
"2034"	"TGFBR1"	"Tgfbr1"	"microglia"	"top_all_enrich"
"2035"	"TGFBR2"	"Tgfbr2"	"microglia"	"top_all_enrich"
"2036"	"TGIF1"	"Tgif1"	"microglia"	"top_all_enrich"
"2037"	"TGM1"	"Tgm1"	"microglia"	"top_mouse_specificity"
"2038"	"TGM2"	"Tgm2"	"microglia"	"top_all_enrich"
"2039"	"THAP4"	"Thap4"	"endothelial"	"manual"
"2040"	"THAP6"	"Thap6"	"astrocyte"	"top_all_specificity"
"2041"	"THBS2"	"Thbs2"	"oligodendrocyte"	"top_human_enrich"
"2042"	"THBS3"	"Thbs3"	"astrocyte"	"top_all_enrich"
"2043"	"THBS4"	"Thbs4"	"astrocyte"	"top_all_enrich"
"2044"	"THG1L"	"Thg1l"	"astrocyte"	"manual"
"2045"	"THOP1"	"Thop1"	"opc"	"manual"
"2046"	"THSD1"	"Thsd1"	"endothelial"	"top_all_enrich"
"2047"	"THSD4"	"Thsd4"	"endothelial"	"top_all_specificity"
"2048"	"TIAM1"	"Tiam1"	"endothelial"	"top_all_enrich"
"2049"	"TICAM2"	"Ticam2"	"microglia"	"top_all_specificity"
"2050"	"TIFA"	"Tifa"	"microglia"	"top_all_enrich"
"2051"	"TIFAB"	"Tifab"	"microglia"	"top_all_enrich"
"2052"	"TIMP1"	"Timp1"	"endothelial"	"top_all_enrich"
"2053"	"TLR1"	"Tlr1"	"microglia"	"top_all_enrich"
"2054"	"TLR13"	"Tlr13"	"microglia"	"top_mouse_enrich"
"2055"	"TLR2"	"Tlr2"	"microglia"	"top_all_enrich"
"2056"	"TLR3"	"Tlr3"	"microglia"	"top_all_enrich"
"2057"	"TLR7"	"Tlr7"	"microglia"	"top_all_enrich"
"2058"	"TM7SF2"	"Tm7sf2"	"astrocyte"	"top_all_enrich"
"2059"	"TMBIM1"	"Tmbim1"	"oligodendrocyte"	"top_all_enrich"
"2060"	"TMC6"	"Tmc6"	"microglia"	"manual"
"2061"	"TMCC2"	"Tmcc2"	"oligodendrocyte"	"top_all_enrich"
"2062"	"TMCO4"	"Tmco4"	"microglia"	"manual"
"2063"	"TMED3"	"Tmed3"	"microglia"	"manual"
"2064"	"TMEFF1"	"Tmeff1"	"oligodendrocyte"	"top_all_enrich"
"2065"	"TMEM106A"	"Tmem106a"	"microglia"	"top_all_enrich"
"2066"	"TMEM119"	"Tmem119"	"microglia"	"top_all_enrich"
"2067"	"TMEM123"	"Tmem123"	"endothelial"	"top_all_enrich"
"2068"	"TMEM154"	"Tmem154"	"endothelial"	"top_all_enrich"
"2069"	"TMEM158"	"Tmem158"	"neuron"	"top_all_specificity"
"2070"	"TMEM159"	"Tmem159"	"oligodendrocyte"	"top_all_enrich"
"2071"	"TMEM164"	"Tmem164"	"astrocyte"	"top_all_enrich"
"2072"	"TMEM176A"	"Tmem176a"	"astrocyte"	"top_all_enrich"
"2073"	"TMEM176B"	"Tmem176b"	"microglia"	"top_all_enrich"
"2074"	"TMEM178"	"Tmem178"	"neuron"	"manual"
"2075"	"TMEM179"	"Tmem179"	"opc"	"top_all_enrich"
"2076"	"TMEM18"	"Tmem18"	"opc"	"manual"
"2077"	"TMEM181B-PS"	"Tmem181b-ps"	NA	"manual"
"2078"	"TMEM191C"	"Tmem191c"	"neuron"	"manual"
"2079"	"TMEM198"	"Tmem198"	"neuron"	"manual"
"2080"	"TMEM198B"	"Tmem198b"	"opc"	"top_all_specificity"
"2081"	"TMEM252"	"Tmem252"	"endothelial"	"top_all_enrich"
"2082"	"TMEM260"	"Tmem260"	"oligodendrocyte"	"manual"
"2083"	"TMEM266"	"Tmem266"	"neuron"	"manual"
"2084"	"TMEM267"	"Tmem267"	"neuron"	"manual"
"2085"	"TMEM33"	"Tmem33"	"astrocyte"	"top_all_expression"
"2086"	"TMEM37"	"Tmem37"	"microglia"	"top_all_enrich"
"2087"	"TMEM47"	"Tmem47"	"astrocyte"	"top_all_enrich"
"2088"	"TMEM50B"	"Tmem50b"	"oligodendrocyte"	"manual"
"2089"	"TMEM52"	"Tmem52"	"microglia"	"top_all_specificity"
"2090"	"TMEM63B"	"Tmem63b"	"opc"	"top_all_specificity"
"2091"	"TMEM63C"	"Tmem63c"	"opc"	"top_all_enrich"
"2092"	"TMEM68"	"Tmem68"	"neuron"	"manual"
"2093"	"TMEM86A"	"Tmem86a"	"microglia"	"top_all_enrich"
"2094"	"TMOD1"	"Tmod1"	"oligodendrocyte"	"top_all_enrich"
"2095"	"TMTC1"	"Tmtc1"	"endothelial"	"top_all_enrich"
"2096"	"TNC"	"Tnc"	"astrocyte"	"top_all_enrich"
"2097"	"TNF"	"Tnf"	"microglia"	"top_all_enrich"
"2098"	"TNFAIP2"	"Tnfaip2"	"microglia"	"top_all_enrich"
"2099"	"TNFAIP8L2"	"Tnfaip8l2"	"microglia"	"top_all_enrich"
"2100"	"TNFAIP8L3"	"Tnfaip8l3"	"neuron"	"top_all_enrich"
"2101"	"TNFRSF11B"	"Tnfrsf11b"	"opc"	"top_all_enrich"
"2102"	"TNFRSF13B"	"Tnfrsf13b"	"microglia"	"top_all_enrich"
"2103"	"TNFSF8"	"Tnfsf8"	"microglia"	"top_all_enrich"
"2104"	"TNFSF9"	"Tnfsf9"	"microglia"	"manual"
"2105"	"TNIP2"	"Tnip2"	"microglia"	"manual"
"2106"	"TNNI1"	"Tnni1"	"oligodendrocyte"	"top_all_enrich"
"2107"	"TNNI2"	"Tnni2"	"microglia"	"top_all_specificity"
"2108"	"TNNT1"	"Tnnt1"	"astrocyte"	"top_human_specificity"
"2109"	"TNPO1"	"Tnpo1"	"opc"	"top_all_enrich"
"2110"	"TNRC18"	"Tnrc18"	"neuron"	"manual"
"2111"	"TNS3"	"Tns3"	"astrocyte"	"top_all_enrich"
"2112"	"TOB1"	"Tob1"	"astrocyte"	"top_all_expression"
"2113"	"TOMM40L"	"Tomm40l"	"opc"	"manual"
"2114"	"TOR3A"	"Tor3a"	"microglia"	"manual"
"2115"	"TPCN2"	"Tpcn2"	"microglia"	"manual"
"2116"	"TPD52L1"	"Tpd52l1"	"astrocyte"	"top_all_enrich"
"2117"	"TPM4"	"Tpm4"	"endothelial"	"top_all_enrich"
"2118"	"TPP1"	"Tpp1"	"microglia"	"top_all_expression"
"2119"	"TPRKB"	"Tprkb"	"astrocyte"	"top_mouse_enrich"
"2120"	"TPSAB1"	"Tpsab1"	"microglia"	"manual"
"2121"	"TRAC"	"Trac"	"astrocyte"	"manual"
"2122"	"TRAF3IP3"	"Traf3ip3"	"microglia"	"top_all_enrich"
"2123"	"TRAPPC2"	"Trappc2"	"oligodendrocyte"	"manual"
"2124"	"TREM2"	"Trem2"	"microglia"	"top_all_enrich"
"2125"	"TRF"	"Trf"	"oligodendrocyte"	"manual"
"2126"	"TRIB2"	"Trib2"	"astrocyte"	"top_all_enrich"
"2127"	"TRIM12A"	"Trim12a"	NA	"manual"
"2128"	"TRIM21"	"Trim21"	"endothelial"	"manual"
"2129"	"TRIM25"	"Trim25"	"endothelial"	"top_all_enrich"
"2130"	"TRIM27"	"Trim27"	"microglia"	"manual"
"2131"	"TRIM30A"	"Trim30a"	"microglia"	"manual"
"2132"	"TRIM40"	"Trim40"	"neuron"	"manual"
"2133"	"TRIM47"	"Trim47"	"microglia"	"top_all_enrich"
"2134"	"TRIM59"	"Trim59"	"oligodendrocyte"	"top_all_enrich"
"2135"	"TRIM62"	"Trim62"	"opc"	"top_all_specificity"
"2136"	"TRIM67"	"Trim67"	"opc"	"top_all_enrich"
"2137"	"TRIM9"	"Trim9"	"astrocyte"	"top_all_enrich"
"2138"	"TRIP6"	"Trip6"	"astrocyte"	"top_all_enrich"
"2139"	"TRIQK"	"Triqk"	"neuron"	"manual"
"2140"	"TRMT10A"	"Trmt10a"	"endothelial"	"top_mouse_specificity"
"2141"	"TRMT2A"	"Trmt2a"	"microglia"	"manual"
"2142"	"TRP63"	"Trp63"	"endothelial"	"manual"
"2143"	"TRPC3"	"Trpc3"	"endothelial"	"top_all_enrich"
"2144"	"TRPC7"	"Trpc7"	"neuron"	"top_all_specificity"
"2145"	"TRPM1"	"Trpm1"	"neuron"	"manual"
"2146"	"TRPM7"	"Trpm7"	"astrocyte"	"top_mouse_expression"
"2147"	"TRPV6"	"Trpv6"	"neuron"	"manual"
"2148"	"TSC22D3"	"Tsc22d3"	"endothelial"	"top_all_enrich"
"2149"	"TSC22D4"	"Tsc22d4"	"astrocyte"	"top_all_enrich"
"2150"	"TSHZ3"	"Tshz3"	"opc"	"top_all_enrich"
"2151"	"TSPAN15"	"Tspan15"	"oligodendrocyte"	"top_all_enrich"
"2152"	"TSPAN2"	"Tspan2"	"oligodendrocyte"	"top_all_enrich"
"2153"	"TSPAN32"	"Tspan32"	"microglia"	"top_all_specificity"
"2154"	"TSPAN4"	"Tspan4"	"microglia"	"top_all_enrich"
"2155"	"TSPAN5"	"Tspan5"	"endothelial"	"top_all_expression"
"2156"	"TSPAN6"	"Tspan6"	"endothelial"	"top_all_enrich"
"2157"	"TSPO"	"Tspo"	"microglia"	"top_all_enrich"
"2158"	"TST"	"Tst"	"astrocyte"	"top_all_enrich"
"2159"	"TTC7B"	"Ttc7b"	"endothelial"	"manual"
"2160"	"TTLL1"	"Ttll1"	"endothelial"	"top_human_specificity"
"2161"	"TTLL11"	"Ttll11"	"oligodendrocyte"	"top_human_enrich"
"2162"	"TUBA1B"	"Tuba1b"	"microglia"	"top_all_expression"
"2163"	"TUBA4A"	"Tuba4a"	"astrocyte"	"top_all_enrich"
"2164"	"TUBB2A"	"Tubb2a"	"astrocyte"	"top_all_enrich"
"2165"	"TUBB2B"	"Tubb2b"	"astrocyte"	"top_all_enrich"
"2166"	"TUBB3"	"Tubb3"	"neuron"	"top_all_enrich"
"2167"	"TUBB5"	"Tubb5"	"neuron"	"manual"
"2168"	"TUBB6"	"Tubb6"	"microglia"	"top_all_enrich"
"2169"	"TUBG2"	"Tubg2"	"neuron"	"manual"
"2170"	"TUFM"	"Tufm"	"astrocyte"	"manual"
"2171"	"TUT1"	"Tut1"	"astrocyte"	"manual"
"2172"	"TWIST2"	"Twist2"	"opc"	"manual"
"2173"	"TXNIP"	"Txnip"	"microglia"	"top_all_enrich"
"2174"	"TXNRD2"	"Txnrd2"	"microglia"	"manual"
"2175"	"TYROBP"	"Tyrobp"	"microglia"	"top_all_enrich"
"2176"	"UAP1L1"	"Uap1l1"	"microglia"	"manual"
"2177"	"UBA1"	"Uba1"	"astrocyte"	"top_all_expression"
"2178"	"UBA7"	"Uba7"	"microglia"	"top_all_enrich"
"2179"	"UBASH3B"	"Ubash3b"	"microglia"	"top_all_enrich"
"2180"	"UBE2C"	"Ube2c"	"opc"	"top_all_enrich"
"2181"	"UBE2D2A"	"Ube2d2a"	"neuron"	"manual"
"2182"	"UBE2D3"	"Ube2d3"	"microglia"	"top_all_expression"
"2183"	"UBE2L6"	"Ube2l6"	"endothelial"	"top_all_enrich"
"2184"	"UBE2V2"	"Ube2v2"	"neuron"	"top_all_enrich"
"2185"	"UBE2W"	"Ube2w"	"neuron"	"manual"
"2186"	"UBQLN4"	"Ubqln4"	"neuron"	"manual"
"2187"	"UBR5"	"Ubr5"	"astrocyte"	"top_all_expression"
"2188"	"UBTD2"	"Ubtd2"	"neuron"	"manual"
"2189"	"UBTF"	"Ubtf"	"opc"	"manual"
"2190"	"UCHL1"	"Uchl1"	"neuron"	"top_all_enrich"
"2191"	"UCP2"	"Ucp2"	"microglia"	"top_all_enrich"
"2192"	"UFSP1"	"Ufsp1"	"neuron"	"manual"
"2193"	"UGP2"	"Ugp2"	"astrocyte"	"top_all_enrich"
"2194"	"UGT8A"	"Ugt8a"	"oligodendrocyte"	"manual"
"2195"	"UMAD1"	"Umad1"	"neuron"	"top_mouse_specificity"
"2196"	"UNC119B"	"Unc119b"	"opc"	"top_all_specificity"
"2197"	"UNC93B1"	"Unc93b1"	"microglia"	"top_all_enrich"
"2198"	"UNKL"	"Unkl"	"neuron"	"manual"
"2199"	"USP18"	"Usp18"	"endothelial"	"top_all_enrich"
"2200"	"USP2"	"Usp2"	"astrocyte"	"top_all_enrich"
"2201"	"USP20"	"Usp20"	"oligodendrocyte"	"manual"
"2202"	"USP32"	"Usp32"	"oligodendrocyte"	"top_human_enrich"
"2203"	"USP42"	"Usp42"	"astrocyte"	"manual"
"2204"	"UVSSA"	"Uvssa"	"astrocyte"	"manual"
"2205"	"VAMP3"	"Vamp3"	"oligodendrocyte"	"top_all_enrich"
"2206"	"VASN"	"Vasn"	"microglia"	"manual"
"2207"	"VASP"	"Vasp"	"microglia"	"top_all_enrich"
"2208"	"VAT1"	"Vat1"	"endothelial"	"top_all_enrich"
"2209"	"VAV1"	"Vav1"	"microglia"	"top_all_enrich"
"2210"	"VBP1"	"Vbp1"	"oligodendrocyte"	"top_all_enrich"
"2211"	"VCAM1"	"Vcam1"	"astrocyte"	"top_all_enrich"
"2212"	"VCAN"	"Vcan"	"opc"	"top_all_enrich"
"2213"	"VGF"	"Vgf"	"neuron"	"top_all_enrich"
"2214"	"VIM"	"Vim"	"astrocyte"	"top_all_enrich"
"2215"	"VIPR1"	"Vipr1"	"microglia"	"manual"
"2216"	"VIPR2"	"Vipr2"	"opc"	"top_all_enrich"
"2217"	"VKORC1"	"Vkorc1"	"microglia"	"manual"
"2218"	"VMN1R43"	"Vmn1r43"	NA	"manual"
"2219"	"VOPP1"	"Vopp1"	"neuron"	"manual"
"2220"	"VPS18"	"Vps18"	"microglia"	"top_all_specificity"
"2221"	"VPS29"	"Vps29"	"endothelial"	"top_all_expression"
"2222"	"VPS37B"	"Vps37b"	"microglia"	"manual"
"2223"	"VPS4A"	"Vps4a"	"opc"	"manual"
"2224"	"VRK2"	"Vrk2"	"microglia"	"top_all_enrich"
"2225"	"VSIR"	"Vsir"	"microglia"	"manual"
"2226"	"VWA1"	"Vwa1"	"endothelial"	"top_all_enrich"
"2227"	"VWA3A"	"Vwa3a"	"astrocyte"	"top_human_specificity"
"2228"	"VWA5A"	"Vwa5a"	"microglia"	"manual"
"2229"	"WAS"	"Was"	"microglia"	"top_all_enrich"
"2230"	"WASF2"	"Wasf2"	"microglia"	"top_all_enrich"
"2231"	"WDFY1"	"Wdfy1"	"opc"	"top_all_specificity"
"2232"	"WDR55"	"Wdr55"	"oligodendrocyte"	"top_mouse_enrich"
"2233"	"WDR82"	"Wdr82"	"opc"	"top_mouse_expression"
"2234"	"WFDC17"	"Wfdc17"	"microglia"	"top_mouse_specificity"
"2235"	"WHAMM"	"Whamm"	"astrocyte"	"manual"
"2236"	"WIPF1"	"Wipf1"	"microglia"	"top_all_enrich"
"2237"	"WNT4"	"Wnt4"	"opc"	"manual"
"2238"	"WNT5A"	"Wnt5a"	"neuron"	"top_mouse_enrich"
"2239"	"WNT9A"	"Wnt9a"	"opc"	"manual"
"2240"	"WNT9B"	"Wnt9b"	"opc"	"manual"
"2241"	"WRNIP1"	"Wrnip1"	"neuron"	"manual"
"2242"	"WSB1"	"Wsb1"	"microglia"	"top_all_expression"
"2243"	"WWC1"	"Wwc1"	"astrocyte"	"top_all_enrich"
"2244"	"XAF1"	"Xaf1"	"endothelial"	"top_all_enrich"
"2245"	"XIRP1"	"Xirp1"	"microglia"	"top_all_enrich"
"2246"	"XIRP2"	"Xirp2"	"astrocyte"	"manual"
"2247"	"XLR"	"Xlr"	"microglia"	"top_mouse_enrich"
"2248"	"XLR3C"	"Xlr3c"	"astrocyte"	"manual"
"2249"	"XYLT2"	"Xylt2"	"astrocyte"	"top_human_specificity"
"2250"	"YARS"	"Yars"	"oligodendrocyte"	"manual"
"2251"	"YDJC"	"Ydjc"	"neuron"	"manual"
"2252"	"YIPF6"	"Yipf6"	"oligodendrocyte"	"top_human_expression"
"2253"	"YJEFN3"	"Yjefn3"	"neuron"	"manual"
"2254"	"ZAP70"	"Zap70"	"endothelial"	"top_all_enrich"
"2255"	"ZBP1"	"Zbp1"	"microglia"	"manual"
"2256"	"ZBTB20"	"Zbtb20"	"astrocyte"	"top_all_enrich"
"2257"	"ZBTB48"	"Zbtb48"	"astrocyte"	"manual"
"2258"	"ZC2HC1A"	"Zc2hc1a"	"neuron"	"top_all_enrich"
"2259"	"ZC3HAV1"	"Zc3hav1"	"microglia"	"top_all_enrich"
"2260"	"ZCCHC10"	"Zcchc10"	"endothelial"	"top_mouse_specificity"
"2261"	"ZCCHC24"	"Zcchc24"	"astrocyte"	"top_all_enrich"
"2262"	"ZCRB1"	"Zcrb1"	"oligodendrocyte"	"manual"
"2263"	"ZDHHC20"	"Zdhhc20"	"oligodendrocyte"	"top_all_enrich"
"2264"	"ZDHHC22"	"Zdhhc22"	"opc"	"top_all_enrich"
"2265"	"ZDHHC5"	"Zdhhc5"	"microglia"	"manual"
"2266"	"ZDHHC8"	"Zdhhc8"	"neuron"	"manual"
"2267"	"ZEB1"	"Zeb1"	"opc"	"top_all_enrich"
"2268"	"ZEB2"	"Zeb2"	"oligodendrocyte"	"top_all_enrich"
"2269"	"ZFP109"	"Zfp109"	"opc"	"manual"
"2270"	"ZFP120"	"Zfp120"	"endothelial"	"manual"
"2271"	"ZFP13"	"Zfp13"	"neuron"	"manual"
"2272"	"ZFP14"	"Zfp14"	"oligodendrocyte"	"top_all_enrich"
"2273"	"ZFP141"	"Zfp141"	"neuron"	"manual"
"2274"	"ZFP180"	"Zfp180"	"opc"	"manual"
"2275"	"ZFP217"	"Zfp217"	"microglia"	"manual"
"2276"	"ZFP251"	"Zfp251"	"neuron"	"manual"
"2277"	"ZFP26"	"Zfp26"	"astrocyte"	"manual"
"2278"	"ZFP266"	"Zfp266"	"microglia"	"manual"
"2279"	"ZFP319"	"Zfp319"	"neuron"	"manual"
"2280"	"ZFP36"	"Zfp36"	"microglia"	"top_all_enrich"
"2281"	"ZFP365"	"Zfp365"	"oligodendrocyte"	"manual"
"2282"	"ZFP385B"	"Zfp385b"	"neuron"	"manual"
"2283"	"ZFP385C"	"Zfp385c"	"astrocyte"	"manual"
"2284"	"ZFP423"	"Zfp423"	"endothelial"	"manual"
"2285"	"ZFP428"	"Zfp428"	"neuron"	"manual"
"2286"	"ZFP444"	"Zfp444"	"neuron"	"manual"
"2287"	"ZFP455"	"Zfp455"	"opc"	"manual"
"2288"	"ZFP46"	"Zfp46"	"neuron"	"manual"
"2289"	"ZFP472"	"Zfp472"	"opc"	"manual"
"2290"	"ZFP493"	"Zfp493"	"opc"	"manual"
"2291"	"ZFP511"	"Zfp511"	"opc"	"manual"
"2292"	"ZFP575"	"Zfp575"	"neuron"	"manual"
"2293"	"ZFP689"	"Zfp689"	"opc"	"manual"
"2294"	"ZFP697"	"Zfp697"	"neuron"	"manual"
"2295"	"ZFP707"	"Zfp707"	"endothelial"	"manual"
"2296"	"ZFP709"	"Zfp709"	"astrocyte"	"manual"
"2297"	"ZFP74"	"Zfp74"	"neuron"	"manual"
"2298"	"ZFP758"	"Zfp758"	"endothelial"	"manual"
"2299"	"ZFP760"	"Zfp760"	"astrocyte"	"manual"
"2300"	"ZFP771"	"Zfp771"	"neuron"	"manual"
"2301"	"ZFP775"	"Zfp775"	"astrocyte"	"manual"
"2302"	"ZFP777"	"Zfp777"	"neuron"	"manual"
"2303"	"ZFP780B"	"Zfp780b"	"neuron"	"manual"
"2304"	"ZFP791"	"Zfp791"	"astrocyte"	"manual"
"2305"	"ZFP804A"	"Zfp804a"	"neuron"	"manual"
"2306"	"ZFP821"	"Zfp821"	"neuron"	"manual"
"2307"	"ZFP825"	"Zfp825"	"astrocyte"	"manual"
"2308"	"ZFP874B"	"Zfp874b"	"neuron"	"manual"
"2309"	"ZFP931"	"Zfp931"	"astrocyte"	"manual"
"2310"	"ZFP932"	"Zfp932"	"neuron"	"manual"
"2311"	"ZFP934"	"Zfp934"	NA	"manual"
"2312"	"ZFP938"	"Zfp938"	NA	"manual"
"2313"	"ZFP942"	"Zfp942"	NA	"manual"
"2314"	"ZFP943"	"Zfp943"	NA	"manual"
"2315"	"ZFP946"	"Zfp946"	NA	"manual"
"2316"	"ZFPM2"	"Zfpm2"	"opc"	"top_all_enrich"
"2317"	"ZIC3"	"Zic3"	"endothelial"	"top_all_enrich"
"2318"	"ZKSCAN6"	"Zkscan6"	"microglia"	"manual"
"2319"	"ZMYND15"	"Zmynd15"	"microglia"	"top_all_specificity"
"2320"	"ZNHIT6"	"Znhit6"	"opc"	"top_all_enrich"
"2321"	"ZNRF2"	"Znrf2"	"microglia"	"top_all_enrich"
"2322"	"ZSCAN20"	"Zscan20"	"astrocyte"	"manual"
"2323"	"ZSCAN4A"	"Zscan4a"	NA	"manual"
